[2026-09-05T21:42:18.409441+00:00] Fetch failed for cell_id | filename_base | study | cathode | anode | temp_C | soc_range | crate_c | crate_d | cap_ah | form_factor: InvalidURL - URL can't contain control characters. '/data/snl/cell_id | filename_base | study | cathode | anode | temp_C | soc_range | crate_c | crate_d | cap_ah | form_factor_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:30.002722+00:00] Fetch failed for SNL_18650_NCA_35C_0-100_0.5/1C_c | SNL_18650_NCA_35C_0-100_0.5-1C_c | snl | NCA | graphite | 35C | 0-100% | 0.5C | 1C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_35C_0-100_0.5/1C_c | SNL_18650_NCA_35C_0-100_0.5-1C_c | snl | NCA | graphite | 35C | 0-100% | 0.5C | 1C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:30.203438+00:00] Fetch failed for SNL_18650_NCA_35C_0-100_0.5/1C_d | SNL_18650_NCA_35C_0-100_0.5-1C_d | snl | NCA | graphite | 35C | 0-100% | 0.5C | 1C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_35C_0-100_0.5/1C_d | SNL_18650_NCA_35C_0-100_0.5-1C_d | snl | NCA | graphite | 35C | 0-100% | 0.5C | 1C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:30.404288+00:00] Fetch failed for SNL_18650_NCA_35C_0-100_0.5/2C_a | SNL_18650_NCA_35C_0-100_0.5-2C_a | snl | NCA | graphite | 35C | 0-100% | 0.5C | 2C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_35C_0-100_0.5/2C_a | SNL_18650_NCA_35C_0-100_0.5-2C_a | snl | NCA | graphite | 35C | 0-100% | 0.5C | 2C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:30.605074+00:00] Fetch failed for SNL_18650_NCA_35C_0-100_0.5/2C_b | SNL_18650_NCA_35C_0-100_0.5-2C_b | snl | NCA | graphite | 35C | 0-100% | 0.5C | 2C | 3.2Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NCA_35C_0-100_0.5/2C_b | SNL_18650_NCA_35C_0-100_0.5-2C_b | snl | NCA | graphite | 35C | 0-100% | 0.5C | 2C | 3.2Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:30.805728+00:00] Fetch failed for SNL_18650_NMC_15C_0-100_0.5/1C_a | SNL_18650_NMC_15C_0-100_0.5-1C_a | snl | NMC | graphite | 15C | 0-100% | 0.5C | 1C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_15C_0-100_0.5/1C_a | SNL_18650_NMC_15C_0-100_0.5-1C_a | snl | NMC | graphite | 15C | 0-100% | 0.5C | 1C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:31.006200+00:00] Fetch failed for SNL_18650_NMC_15C_0-100_0.5/1C_b | SNL_18650_NMC_15C_0-100_0.5-1C_b | snl | NMC | graphite | 15C | 0-100% | 0.5C | 1C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_15C_0-100_0.5/1C_b | SNL_18650_NMC_15C_0-100_0.5-1C_b | snl | NMC | graphite | 15C | 0-100% | 0.5C | 1C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:31.207018+00:00] Fetch failed for SNL_18650_NMC_15C_0-100_0.5/2C_a | SNL_18650_NMC_15C_0-100_0.5-2C_a | snl | NMC | graphite | 15C | 0-100% | 0.5C | 2C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_15C_0-100_0.5/2C_a | SNL_18650_NMC_15C_0-100_0.5-2C_a | snl | NMC | graphite | 15C | 0-100% | 0.5C | 2C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:31.407475+00:00] Fetch failed for SNL_18650_NMC_15C_0-100_0.5/2C_b | SNL_18650_NMC_15C_0-100_0.5-2C_b | snl | NMC | graphite | 15C | 0-100% | 0.5C | 2C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_15C_0-100_0.5/2C_b | SNL_18650_NMC_15C_0-100_0.5-2C_b | snl | NMC | graphite | 15C | 0-100% | 0.5C | 2C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:31.608045+00:00] Fetch failed for SNL_18650_NMC_25C_0-100_0.5/0.5C_a | SNL_18650_NMC_25C_0-100_0.5-0.5C_a | snl | NMC | graphite | 25C | 0-100% | 0.5C | 0.5C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_0-100_0.5/0.5C_a | SNL_18650_NMC_25C_0-100_0.5-0.5C_a | snl | NMC | graphite | 25C | 0-100% | 0.5C | 0.5C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:31.808957+00:00] Fetch failed for SNL_18650_NMC_25C_0-100_0.5/0.5C_b | SNL_18650_NMC_25C_0-100_0.5-0.5C_b | snl | NMC | graphite | 25C | 0-100% | 0.5C | 0.5C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_0-100_0.5/0.5C_b | SNL_18650_NMC_25C_0-100_0.5-0.5C_b | snl | NMC | graphite | 25C | 0-100% | 0.5C | 0.5C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:32.009922+00:00] Fetch failed for SNL_18650_NMC_25C_0-100_0.5/1C_a | SNL_18650_NMC_25C_0-100_0.5-1C_a | snl | NMC | graphite | 25C | 0-100% | 0.5C | 1C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_0-100_0.5/1C_a | SNL_18650_NMC_25C_0-100_0.5-1C_a | snl | NMC | graphite | 25C | 0-100% | 0.5C | 1C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:32.211276+00:00] Fetch failed for SNL_18650_NMC_25C_0-100_0.5/1C_b | SNL_18650_NMC_25C_0-100_0.5-1C_b | snl | NMC | graphite | 25C | 0-100% | 0.5C | 1C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_0-100_0.5/1C_b | SNL_18650_NMC_25C_0-100_0.5-1C_b | snl | NMC | graphite | 25C | 0-100% | 0.5C | 1C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:32.412032+00:00] Fetch failed for SNL_18650_NMC_25C_0-100_0.5/1C_c | SNL_18650_NMC_25C_0-100_0.5-1C_c | snl | NMC | graphite | 25C | 0-100% | 0.5C | 1C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_0-100_0.5/1C_c | SNL_18650_NMC_25C_0-100_0.5-1C_c | snl | NMC | graphite | 25C | 0-100% | 0.5C | 1C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:32.612740+00:00] Fetch failed for SNL_18650_NMC_25C_0-100_0.5/1C_d | SNL_18650_NMC_25C_0-100_0.5-1C_d | snl | NMC | graphite | 25C | 0-100% | 0.5C | 1C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_0-100_0.5/1C_d | SNL_18650_NMC_25C_0-100_0.5-1C_d | snl | NMC | graphite | 25C | 0-100% | 0.5C | 1C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:32.813416+00:00] Fetch failed for SNL_18650_NMC_25C_0-100_0.5/2C_a | SNL_18650_NMC_25C_0-100_0.5-2C_a | snl | NMC | graphite | 25C | 0-100% | 0.5C | 2C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_0-100_0.5/2C_a | SNL_18650_NMC_25C_0-100_0.5-2C_a | snl | NMC | graphite | 25C | 0-100% | 0.5C | 2C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:33.013987+00:00] Fetch failed for SNL_18650_NMC_25C_0-100_0.5/2C_b | SNL_18650_NMC_25C_0-100_0.5-2C_b | snl | NMC | graphite | 25C | 0-100% | 0.5C | 2C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_0-100_0.5/2C_b | SNL_18650_NMC_25C_0-100_0.5-2C_b | snl | NMC | graphite | 25C | 0-100% | 0.5C | 2C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:33.214716+00:00] Fetch failed for SNL_18650_NMC_25C_0-100_0.5/3C_a | SNL_18650_NMC_25C_0-100_0.5-3C_a | snl | NMC | graphite | 25C | 0-100% | 0.5C | 3C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_0-100_0.5/3C_a | SNL_18650_NMC_25C_0-100_0.5-3C_a | snl | NMC | graphite | 25C | 0-100% | 0.5C | 3C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:33.415505+00:00] Fetch failed for SNL_18650_NMC_25C_0-100_0.5/3C_b | SNL_18650_NMC_25C_0-100_0.5-3C_b | snl | NMC | graphite | 25C | 0-100% | 0.5C | 3C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_0-100_0.5/3C_b | SNL_18650_NMC_25C_0-100_0.5-3C_b | snl | NMC | graphite | 25C | 0-100% | 0.5C | 3C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:33.616332+00:00] Fetch failed for SNL_18650_NMC_25C_0-100_0.5/3C_c | SNL_18650_NMC_25C_0-100_0.5-3C_c | snl | NMC | graphite | 25C | 0-100% | 0.5C | 3C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_0-100_0.5/3C_c | SNL_18650_NMC_25C_0-100_0.5-3C_c | snl | NMC | graphite | 25C | 0-100% | 0.5C | 3C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:33.817123+00:00] Fetch failed for SNL_18650_NMC_25C_0-100_0.5/3C_d | SNL_18650_NMC_25C_0-100_0.5-3C_d | snl | NMC | graphite | 25C | 0-100% | 0.5C | 3C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_0-100_0.5/3C_d | SNL_18650_NMC_25C_0-100_0.5-3C_d | snl | NMC | graphite | 25C | 0-100% | 0.5C | 3C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:34.017610+00:00] Fetch failed for SNL_18650_NMC_25C_20-80_0.5/0.5C_a | SNL_18650_NMC_25C_20-80_0.5-0.5C_a | snl | NMC | graphite | 25C | 20-80% | 0.5C | 0.5C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_20-80_0.5/0.5C_a | SNL_18650_NMC_25C_20-80_0.5-0.5C_a | snl | NMC | graphite | 25C | 20-80% | 0.5C | 0.5C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:34.218046+00:00] Fetch failed for SNL_18650_NMC_25C_20-80_0.5/0.5C_b | SNL_18650_NMC_25C_20-80_0.5-0.5C_b | snl | NMC | graphite | 25C | 20-80% | 0.5C | 0.5C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_20-80_0.5/0.5C_b | SNL_18650_NMC_25C_20-80_0.5-0.5C_b | snl | NMC | graphite | 25C | 20-80% | 0.5C | 0.5C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:34.418578+00:00] Fetch failed for SNL_18650_NMC_25C_20-80_0.5/0.5C_c | SNL_18650_NMC_25C_20-80_0.5-0.5C_c | snl | NMC | graphite | 25C | 20-80% | 0.5C | 0.5C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_20-80_0.5/0.5C_c | SNL_18650_NMC_25C_20-80_0.5-0.5C_c | snl | NMC | graphite | 25C | 20-80% | 0.5C | 0.5C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:34.618932+00:00] Fetch failed for SNL_18650_NMC_25C_20-80_0.5/0.5C_d | SNL_18650_NMC_25C_20-80_0.5-0.5C_d | snl | NMC | graphite | 25C | 20-80% | 0.5C | 0.5C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_20-80_0.5/0.5C_d | SNL_18650_NMC_25C_20-80_0.5-0.5C_d | snl | NMC | graphite | 25C | 20-80% | 0.5C | 0.5C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:34.819480+00:00] Fetch failed for SNL_18650_NMC_25C_20-80_0.5/3C_a | SNL_18650_NMC_25C_20-80_0.5-3C_a | snl | NMC | graphite | 25C | 20-80% | 0.5C | 3C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_20-80_0.5/3C_a | SNL_18650_NMC_25C_20-80_0.5-3C_a | snl | NMC | graphite | 25C | 20-80% | 0.5C | 3C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:35.020124+00:00] Fetch failed for SNL_18650_NMC_25C_20-80_0.5/3C_b | SNL_18650_NMC_25C_20-80_0.5-3C_b | snl | NMC | graphite | 25C | 20-80% | 0.5C | 3C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_20-80_0.5/3C_b | SNL_18650_NMC_25C_20-80_0.5-3C_b | snl | NMC | graphite | 25C | 20-80% | 0.5C | 3C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:35.220858+00:00] Fetch failed for SNL_18650_NMC_25C_40-60_0.5/0.5C_a | SNL_18650_NMC_25C_40-60_0.5-0.5C_a | snl | NMC | graphite | 25C | 40-60% | 0.5C | 0.5C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_40-60_0.5/0.5C_a | SNL_18650_NMC_25C_40-60_0.5-0.5C_a | snl | NMC | graphite | 25C | 40-60% | 0.5C | 0.5C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:35.421839+00:00] Fetch failed for SNL_18650_NMC_25C_40-60_0.5/0.5C_b | SNL_18650_NMC_25C_40-60_0.5-0.5C_b | snl | NMC | graphite | 25C | 40-60% | 0.5C | 0.5C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_40-60_0.5/0.5C_b | SNL_18650_NMC_25C_40-60_0.5-0.5C_b | snl | NMC | graphite | 25C | 40-60% | 0.5C | 0.5C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:35.623006+00:00] Fetch failed for SNL_18650_NMC_25C_40-60_0.5/3C_a | SNL_18650_NMC_25C_40-60_0.5-3C_a | snl | NMC | graphite | 25C | 40-60% | 0.5C | 3C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_40-60_0.5/3C_a | SNL_18650_NMC_25C_40-60_0.5-3C_a | snl | NMC | graphite | 25C | 40-60% | 0.5C | 3C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:35.823857+00:00] Fetch failed for SNL_18650_NMC_25C_40-60_0.5/3C_b | SNL_18650_NMC_25C_40-60_0.5-3C_b | snl | NMC | graphite | 25C | 40-60% | 0.5C | 3C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_25C_40-60_0.5/3C_b | SNL_18650_NMC_25C_40-60_0.5-3C_b | snl | NMC | graphite | 25C | 40-60% | 0.5C | 3C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:36.024476+00:00] Fetch failed for SNL_18650_NMC_35C_0-100_0.5/1C_a | SNL_18650_NMC_35C_0-100_0.5-1C_a | snl | NMC | graphite | 35C | 0-100% | 0.5C | 1C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_35C_0-100_0.5/1C_a | SNL_18650_NMC_35C_0-100_0.5-1C_a | snl | NMC | graphite | 35C | 0-100% | 0.5C | 1C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:36.225071+00:00] Fetch failed for SNL_18650_NMC_35C_0-100_0.5/1C_b | SNL_18650_NMC_35C_0-100_0.5-1C_b | snl | NMC | graphite | 35C | 0-100% | 0.5C | 1C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_35C_0-100_0.5/1C_b | SNL_18650_NMC_35C_0-100_0.5-1C_b | snl | NMC | graphite | 35C | 0-100% | 0.5C | 1C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:36.425812+00:00] Fetch failed for SNL_18650_NMC_35C_0-100_0.5/1C_c | SNL_18650_NMC_35C_0-100_0.5-1C_c | snl | NMC | graphite | 35C | 0-100% | 0.5C | 1C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_35C_0-100_0.5/1C_c | SNL_18650_NMC_35C_0-100_0.5-1C_c | snl | NMC | graphite | 35C | 0-100% | 0.5C | 1C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:36.626740+00:00] Fetch failed for SNL_18650_NMC_35C_0-100_0.5/1C_d | SNL_18650_NMC_35C_0-100_0.5-1C_d | snl | NMC | graphite | 35C | 0-100% | 0.5C | 1C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_35C_0-100_0.5/1C_d | SNL_18650_NMC_35C_0-100_0.5-1C_d | snl | NMC | graphite | 35C | 0-100% | 0.5C | 1C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:36.827431+00:00] Fetch failed for SNL_18650_NMC_35C_0-100_0.5/2C_a | SNL_18650_NMC_35C_0-100_0.5-2C_a | snl | NMC | graphite | 35C | 0-100% | 0.5C | 2C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_35C_0-100_0.5/2C_a | SNL_18650_NMC_35C_0-100_0.5-2C_a | snl | NMC | graphite | 35C | 0-100% | 0.5C | 2C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
[2026-09-05T21:42:37.027991+00:00] Fetch failed for SNL_18650_NMC_35C_0-100_0.5/2C_b | SNL_18650_NMC_35C_0-100_0.5-2C_b | snl | NMC | graphite | 35C | 0-100% | 0.5C | 2C | 3Ah | 18650: InvalidURL - URL can't contain control characters. '/data/snl/SNL_18650_NMC_35C_0-100_0.5/2C_b | SNL_18650_NMC_35C_0-100_0.5-2C_b | snl | NMC | graphite | 35C | 0-100% | 0.5C | 2C | 3Ah | 18650_cycle_data.csv' (found at least ' ')
